t,elapsed_s,standby_normal,standby_core,standby_reserve,standby_total,avail_mb,committed,cache_bytes,phys_used_bytes,gpu_mib
07:08:32,1.4,880713728,165249024,1849835520,2895798272,13273,225540927488,169996288,88683667456,31011
07:08:36,5.6,879108096,165249024,1850773504,2895130624,13271,225549983744,168976384,88694964224,31011
07:08:41,9.8,986763264,170061824,3202150400,4358975488,13791,199478710272,169009152,87455481856,976
07:08:45,14.0,1297887232,170848256,4080820224,5549555712,55354,86495821824,169377792,43327844352,915
07:08:49,18.2,1337135104,170921984,1324589056,2832646144,82516,43270565888,169418752,16077697024,868
07:08:53,22.3,1337139200,170921984,1324986368,2833047552,82531,43222978560,169431040,16059887616,863
07:08:57,26.5,1322856448,170921984,1326211072,2819989504,82498,43267624960,169865216,16100507648,863
07:09:01,30.7,1320980480,170577920,1321984000,2813542400,82563,43353448448,170385408,16033738752,895
07:09:06,34.8,1324732416,170717184,1323892736,2819342336,82607,43289247744,170201088,15995371520,895
07:09:10,38.9,1328316416,170799104,1324642304,2823757824,82604,43281453056,170254336,15984758784,895
07:09:14,43.1,1327857664,170811392,1325146112,2823815168,82613,43292991488,170250240,15987638272,895
07:09:18,47.3,1328373760,170835968,1325793280,2825003008,82600,43329515520,169558016,15990378496,917
07:09:22,51.4,1327190016,170848256,1326510080,2824548352,82599,43340144640,169320448,15997997056,917
07:09:26,55.5,1184468992,169390080,1327550464,2681409536,81972,45246439424,193466368,16653553664,970
07:09:30,59.7,1159811072,169390080,1330614272,2659815424,81867,45326708736,223563776,16775254016,950
07:09:35,63.9,1171890176,168603648,1325686784,2666180608,80822,49043812352,217935872,17856733184,925
07:09:39,68.1,1954947072,168599552,1354522624,3478069248,78096,65640374272,173912064,20853321728,4519
07:09:43,72.3,7500210176,168607744,1356951552,9025769472,75809,65546063872,174153728,23270064128,9988
07:09:47,76.4,11130499072,168607744,1356656640,12655763456,76621,117157511168,173981696,22255988736,6744
07:09:51,80.5,11104751616,168607744,1350144000,12623503360,76590,116909039616,173912064,22291779584,6746
07:09:55,84.8,11102633984,168804352,1351016448,12622454784,69524,185721077760,174055424,30132383744,6751
07:10:00,88.9,11099783168,169857024,1360351232,12629991424,61842,185834217472,172875776,38197698560,6746
07:10:04,93.1,11103080448,173654016,1368600576,12645335040,54325,186194628608,172056576,45641646080,6744
07:10:08,97.3,11105837056,173817856,1374830592,12654485504,46853,186235195392,171479040,53912350720,6744
07:10:12,101.4,11106562048,173838336,1376722944,12657123328,39211,185941577728,171257856,62026702848,6744
07:10:16,105.6,11107360768,173907968,1377726464,12658995200,31536,186024964096,170713088,69709783040,6744
07:10:21,109.8,11106742272,173928448,1378508800,12659179520,24013,186083196928,170774528,77654663168,6744
07:10:25,114.0,11107524608,173961216,1378017280,12659503104,16191,186144096256,170512384,85987594240,6744
07:10:29,118.2,11001729024,173961216,376832,11176067072,11077,202646065152,170774528,90992119808,8666
07:10:33,122.4,10817425408,173846528,61440,10991333376,10495,207768670208,171819008,91680108544,27072
07:10:37,126.6,12146753536,173961216,897024,12321611776,11831,223204896768,181350400,90216103936,29198
07:10:41,130.8,12160557056,174067712,2977792,12337602560,11883,223129673728,172093440,90138529792,29200
07:10:46,134.9,12160532480,174067712,4009984,12338610176,11881,223151771648,171368448,90142490624,29205
07:10:50,139.1,12160282624,174067712,5955584,12340305920,11869,223161683968,171458560,90160586752,29203
07:10:54,143.2,12159705088,173658112,11247616,12344610816,11860,223179059200,171208704,90174828544,29212
07:10:58,147.4,12157808640,173629440,11980800,12343418880,11843,223185641472,171200512,90184052736,29212
07:11:02,151.5,12165799936,173629440,13664256,12353093632,11846,223193862144,171507712,90185043968,29212
07:11:06,155.7,12164034560,173617152,14831616,12352483328,11837,223206084608,171556864,90187423744,29212
