t,elapsed_s,standby_normal,standby_core,standby_reserve,standby_total,avail_mb,committed,cache_bytes,phys_used_bytes,gpu_mib
07:14:13,1.5,11905302528,172429312,15962112,12093693952,11690,225409380352,172679168,90353795072,30971
07:14:17,5.7,11910750208,172425216,19841024,12103016448,11686,225406656512,172257280,90355535872,30954
07:14:21,9.8,12631326720,174489600,22040576,12827856896,25689,118764859392,172236800,74889662464,855
07:14:26,14.0,12631056384,174481408,22310912,12827848704,60180,82625101824,172015616,38739963904,840
07:14:30,18.2,12964368384,175075328,23486464,13162930176,83265,43250798592,171507712,15294636032,839
07:14:34,22.3,12965289984,175075328,23920640,13164285952,83249,43275079680,171921408,15329394688,839
07:14:38,26.5,12841922560,173342720,27844608,13043109888,82723,45094871040,178884608,15886348288,911
07:14:42,30.8,12820754432,173236224,31608832,13025599488,81890,48598593536,180891648,16861278208,919
07:14:47,35.0,12432805888,173219840,32342016,12638367744,80383,63909933056,172244992,18854789120,3289
07:14:51,39.2,12851838976,173166592,44003328,13069008896,77328,117121028096,172920832,21518327808,6733
07:14:55,43.4,16747732992,173166592,44195840,16965095424,73184,185755062272,172384256,26190000128,6731
07:14:59,47.6,22056079360,173207552,44584960,22273871872,67877,185804972032,172371968,31334510592,6731
07:15:03,51.8,27373305856,173244416,47149056,27593699328,62636,185836167168,172384256,36788613120,6738
07:15:08,56.0,32680022016,168759296,48111616,32896892928,57559,185873952768,172752896,42143715328,6730
07:15:12,60.2,37651746816,168800256,51220480,37871767552,52640,186254557184,172650496,47207546880,6730
07:15:16,64.4,42587566080,168960000,55386112,42811912192,48163,185980993536,172609536,52431814656,6730
07:15:20,68.6,45195403264,169017344,0,45364420608,43265,186013429760,172257280,57578401792,6730
07:15:24,72.7,40025870336,169398272,0,40195268608,38335,185991163904,170463232,62658203648,6731
07:15:29,76.9,35080163328,172998656,0,35253161984,33622,186022162432,170438656,67588235264,6731
07:15:33,81.1,29990633472,173543424,0,30164176896,28769,186087657472,170422272,72199798784,6730
07:15:37,85.2,25275985920,173555712,0,25449541632,24272,186074857472,170438656,77471338496,6730
07:15:41,89.4,20302770176,173572096,0,20476342272,19529,186117017600,170881024,82390036480,6730
07:15:45,93.6,15035158528,173608960,0,15208767488,14506,186166476800,170987520,87172456448,6730
07:15:49,97.8,12088451072,173752320,655360,12262858752,11699,204751454208,171114496,90334011392,24534
07:15:54,102.0,11473080320,173756416,12558336,11659395072,13156,205709103104,176562176,88723820544,27085
07:15:58,106.2,12933337088,173899776,14446592,13121683456,12563,223170547712,174620672,89431810048,29181
07:16:02,110.4,12953178112,173826048,16838656,13143842816,12571,223190601728,169574400,89418694656,29181
07:16:06,114.5,12953477120,173826048,18145280,13145448448,12565,223198576640,169803776,89433747456,29181
07:16:10,118.7,12955176960,173400064,9506816,13138083840,12548,223195000832,170684416,89443860480,29181
