t,elapsed_s,standby_normal,standby_core,standby_reserve,standby_total,avail_mb,committed,cache_bytes,phys_used_bytes,gpu_mib
07:50:18,1.6,590069760,199155712,436994048,1226219520,73164,46527889408,139759616,25729855488,820
07:50:22,5.8,585048064,198868992,438820864,1222737920,77770,46517100544,139845632,20896485376,820
07:50:27,10.0,590135296,198795264,440320000,1229250560,81849,46480986112,138813440,16742559744,820
07:50:31,14.2,586514432,198795264,438284288,1223593984,81828,46563741696,139378688,16793571328,819
07:50:35,18.4,585928704,198053888,439070720,1223053312,81768,46664806400,143339520,16860852224,849
07:50:39,22.5,594345984,198021120,445812736,1238179840,81771,46622453760,142102528,16855867392,849
07:50:43,26.7,599760896,197947392,450883584,1248591872,81761,46627151872,142233600,16880611328,849
07:50:48,30.9,594948096,198033408,455614464,1248595968,81713,46705197056,142393344,16916721664,871
07:50:52,35.0,593371136,198012928,460230656,1251614720,81733,46667395072,142450688,16903049216,874
07:50:56,39.2,588922880,198012928,465100800,1252036608,81681,46727823360,143110144,16950366208,877
07:51:00,43.4,591859712,197943296,465608704,1255411712,81671,46749077504,143405056,16965419008,877
07:51:04,47.6,595685376,197939200,469037056,1262661632,81704,46690799616,143654912,16926658560,877
07:51:08,51.7,588492800,197677056,469061632,1255231488,81648,46721212416,142237696,16960479232,877
07:51:13,55.9,599715840,197935104,470941696,1268592640,81622,46778961920,142225408,17019109376,879
07:51:17,60.1,601440256,197935104,471453696,1270829056,81613,46776365056,142270464,17029300224,857
07:51:21,64.2,471425024,188915712,483930112,1144270848,80916,48734285824,148439040,17771958272,896
07:51:25,68.4,481951744,185556992,485867520,1153376256,80824,48816033792,149921792,17871073280,874
07:51:29,72.6,481669120,187719680,526843904,1196232704,79647,52619743232,164769792,19092852736,861
07:51:33,76.8,1240313856,187588608,547364864,1975267328,76041,70172782592,148885504,23068667904,5476
07:51:38,81.0,6777311232,187396096,554823680,7519531008,72889,71637266432,149008384,26338643968,10078
07:51:42,85.2,10457186304,187531264,562102272,11206819840,75506,120446595072,149102592,23435919360,6710
07:51:46,89.4,10433908736,187531264,555732992,11177172992,75471,120411369472,149200896,23475929088,6710
07:51:50,93.5,10398232576,187629568,590290944,11176153088,66416,192515698688,192352256,33014988800,6742
07:51:54,97.7,10460217344,187641856,597061632,11244920832,57540,190478381056,150048768,42732511232,6719
07:51:59,101.9,10457591808,187654144,606986240,11252232192,47671,190550757376,149356544,52759498752,6712
07:52:03,106.1,10455855104,187789312,611540992,11255185408,38186,190987120640,148140032,62695940096,6710
07:52:07,110.2,10457448448,187785216,617279488,11262513152,28825,190707605504,151547904,72450592768,6710
07:52:11,114.4,10460413952,187789312,621752320,11269955584,19563,190779998208,148946944,82283298816,6710
07:52:15,118.6,10456956928,187789312,173936640,10818682880,10319,190889586688,149069824,91910656000,6710
07:52:19,122.8,9641832448,187789312,2301952,9831923712,9668,210713907200,148643840,92619689984,27026
07:52:24,126.9,9249120256,187760640,0,9436880896,9001,211469008896,150757376,93175291904,27038
07:52:28,131.1,10662154240,187781120,8482816,10858418176,10808,226261622784,154021888,91279163392,29017
07:52:32,135.3,10689527808,187879424,22110208,10899517440,10481,226732965888,155901952,91611095040,29162
07:52:36,139.5,10703532032,186793984,23867392,10914193408,10463,226748555264,155029504,91633418240,29162
07:52:40,143.6,10706386944,186761216,28577792,10921725952,10451,226732707840,154574848,91609686016,29162
07:52:44,147.8,10722549760,186765312,34250752,10943565824,10450,226749689856,153161728,91640139776,29177
07:52:49,152.0,10698252288,186765312,1220608,10886238208,10421,226806304768,153051136,91663405056,29192
07:52:53,156.1,10672291840,186765312,729088,10859786240,10407,226832109568,153948160,91640557568,29192
07:52:57,160.3,10669101056,186761216,3534848,10859397120,10420,226831040512,156127232,91662532608,29214
07:53:01,164.5,10683580416,186761216,4562944,10874904576,10455,226787483648,153391104,91636740096,29214
07:53:05,168.6,10685358080,186761216,6397952,10878517248,10429,226831892480,153858048,91663855616,29237
07:53:10,172.9,10683457536,186761216,6008832,10876227584,10418,226832060416,154697728,91706007552,29237
07:53:14,177.0,10679578624,186761216,7749632,10874089472,10376,226878775296,156811264,91685896192,29237
07:53:18,181.2,10681327616,186761216,8753152,10876841984,10386,226882478080,154193920,91705315328,29237
07:53:22,185.4,10684678144,186753024,1314816,10872745984,10392,226868776960,154591232,91704025088,29237
07:53:26,189.5,10682925056,186753024,5648384,10875326464,10417,226827653120,154869760,91677642752,29237
07:53:30,193.7,10255495168,186753024,40960,10442289152,9974,228650242048,163631104,92164120576,29254
07:53:35,197.9,10017316864,186753024,0,10204069888,9733,229391556608,156786688,92642148352,29896
07:53:39,202.1,8759783424,186744832,0,8946528256,8556,231695691776,156680192,93631057920,30484
07:53:43,206.2,8729460736,187039744,4096,8916504576,8518,231687385088,155934720,93669285888,30484
07:53:47,210.4,8702304256,187039744,4096,8889348096,8497,231725416448,155705344,93691117568,30484
07:53:51,214.6,8674508800,187039744,995328,8862543872,8468,231775244288,155697152,93721505792,30501
07:53:55,218.8,8615874560,185421824,2445312,8803741696,8417,231786893312,156418048,93768015872,30501
07:54:00,223.0,8626024448,186974208,3837952,8816836608,8458,231711731712,156168192,93736214528,30501
07:54:04,227.1,8625471488,186699776,7446528,8819617792,8440,231738712064,156213248,93751754752,30501
07:54:08,231.3,8492445696,186613760,65536,8679124992,8286,231942094848,161398784,93981298688,30513
07:54:12,235.5,8213262336,186695680,159744,8400117760,8024,232022278144,157147136,94187003904,30247
07:54:16,239.7,8143753216,186695680,0,8330448896,7949,231888072704,158126080,94270504960,29800
07:54:21,243.9,7734882304,186589184,114688,7921586176,7567,232248606720,161325056,94662529024,29870
07:54:25,248.1,7669575680,186605568,1073152,7857254400,7500,232216313856,158347264,94719516672,29854
07:54:29,252.2,7566315520,186605568,45056,7752966144,7417,232544149504,157806592,94823690240,30123
07:54:33,256.4,7515594752,186585088,679936,7702859776,7362,232565297152,158138368,94881177600,30128
07:54:37,260.6,7453085696,186585088,1228800,7640899584,7315,232536023040,158187520,94937026560,30128
07:54:41,264.8,6224818176,186585088,159744,6411563008,6129,234394615808,158699520,96174108672,31080
07:54:46,268.9,6109310976,186580992,69632,6295961600,6011,234480529408,159035392,96312819712,31077
07:54:50,273.1,5806878720,186089472,0,5992968192,5717,234600153088,159309824,96683454464,31082
07:54:54,277.3,5693644800,186597376,1384448,5881626624,8455,229447733248,157429760,93743726592,30668
07:54:58,281.5,5694435328,186662912,2576384,5883674624,8396,229419970560,158236672,93792899072,30668
07:55:02,285.7,5694369792,186646528,4485120,5885501440,8401,229385609216,157945856,93792116736,30697
07:55:07,289.9,5720195072,186646528,5505024,5912346624,8421,229428973568,158400512,93785530368,30697
07:55:11,294.1,5718679552,186646528,6324224,5911650304,8417,229409697792,158060544,93776814080,30701
07:55:15,298.2,5759692800,185126912,11988992,5956808704,8407,229514559488,161017856,93783773184,30725
07:55:19,302.4,5739454464,185237504,44085248,5968777216,8370,229504876544,161550336,93821976576,30723
07:55:23,306.6,5740351488,185196544,53243904,5978791936,8235,229505269760,161591296,93963104256,30725
07:55:27,310.8,5738479616,185114624,59924480,5983518720,7762,231291822080,163282944,94472835072,30705
